,Unnamed: 0,BLOCK,LOT,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,SALE PRICE
25137,34965,4112,66,11208,2,0,2180,2200,1920,1,785000
25138,34968,4114,49,11208,2,0,2100,2232,1910,1,750000
25139,34969,4115,29,11208,2,0,1737,1656,1901,1,600000
25140,34970,4116,3,11208,2,0,2000,2072,1901,1,220000
25141,34971,4116,9,11208,2,0,3000,2080,1901,1,410000
25142,34972,4116,41,11208,2,0,3000,2080,1901,1,710000
25143,34973,4116,42,11208,2,0,3000,2152,1920,1,550000
25144,34974,4116,42,11208,2,0,3000,2152,1920,1,232750
25145,34975,4116,46,11208,2,0,3000,2080,1901,1,650000
25146,34976,4116,47,11208,2,0,3000,2152,1901,1,36000
25147,34977,4117,10,11208,2,0,2000,3000,1920,1,775000
25148,34978,4117,10,11208,2,0,2000,3000,1920,1,550000
25149,34980,4117,11,11208,2,0,2000,3000,1920,1,413250
25150,34983,4119,25,11208,2,0,1639,1980,1901,1,600000
25151,34985,4119,32,11208,2,0,1643,2044,1901,1,770000
25152,34986,4119,80,11208,2,0,1619,1980,1901,1,679000
25153,34988,4123,117,11208,2,0,2476,2224,2016,1,832928
25154,34990,4127,50,11208,2,0,3750,1846,1920,1,360000
25155,34991,4129,50,11208,2,0,1833,2430,1899,1,695000
25156,34993,4131,58,11208,2,0,1587,1398,1920,1,610000
25157,34996,4132,53,11208,2,0,2003,2080,1910,1,695000
25158,34997,4132,55,11208,2,0,2003,2080,1910,1,465000
25159,34999,4133,6,11208,2,0,1778,2160,1899,1,465750
25160,35000,4133,12,11208,2,0,1750,2080,1899,1,620000
25161,35001,4133,13,11208,2,0,1750,2080,1899,1,660000
25162,35002,4133,18,11208,2,0,1750,2160,1899,1,720000
25163,35003,4133,42,11208,2,0,1750,2160,1899,1,570000
25164,35004,4133,58,11208,2,1,1958,3231,1920,1,850000
25165,35005,4134,7,11208,2,0,2180,2040,1899,1,710000
25166,35007,4134,53,11208,2,0,1663,1972,1899,1,230000
25167,35008,4135,57,11208,2,0,2500,2280,1899,1,465000
25168,35009,4135,57,11208,2,0,2500,2280,1899,1,425000
25169,35011,4136,24,11208,2,0,1751,2380,1899,1,450000
25170,35015,4137,4,11208,2,0,3750,1101,1910,1,470000
25171,35016,4139,1,11208,2,0,1800,2220,1899,1,650000
25172,35017,4139,7,11208,2,0,2268,1672,1910,1,689000
25173,35019,4141,122,11208,2,0,1900,3230,1910,1,685000
25174,35020,4141,123,11208,2,0,1596,2280,1910,1,661000
25175,35022,4145,64,11208,2,0,2417,4070,1910,1,550000
25176,35024,4147,63,11208,2,0,2050,2160,1910,1,450000
25177,35026,4148,8,11208,2,0,1900,2052,1910,1,300000
25178,35027,4148,48,11208,2,0,1867,1936,1910,1,775000
25179,35030,4150,5,11208,2,0,1750,2128,1910,1,630000
25180,35031,4150,16,11208,2,0,1750,2080,1910,1,230000
25181,35032,4150,52,11208,2,0,1750,1664,1910,1,820482
25182,35034,4150,59,11208,2,0,2749,1936,1910,1,750000
25183,35035,4151,9,11208,2,0,3125,1640,1920,1,425000
25184,35036,4151,22,11208,2,0,2500,2080,1905,1,499999
25185,35037,4151,44,11208,2,0,2500,2080,1910,1,235000
25186,35038,4151,52,11208,2,0,3125,1488,1910,1,572000
25187,35039,4152,19,11208,2,0,2000,2000,1899,1,220000
25188,35040,4152,53,11208,2,0,2139,1260,1920,1,635000
25189,35041,3664,18,11207,3,0,2500,3140,1901,1,750000
25190,35042,3664,38,11207,3,0,2000,2128,1901,1,740000
25191,35043,3670,25,11207,3,0,5000,2043,1901,1,800000
25192,35044,3671,131,11207,3,0,1975,2054,2005,1,275000
25193,35045,3674,16,11207,3,0,2500,1900,1901,1,470000
25194,35047,3888,33,11207,3,0,2200,3300,1931,1,700000
25195,35049,3913,24,11208,3,0,3789,2868,1950,1,720000
25196,35050,3918,27,11207,3,0,2108,2268,1910,1,780000
25197,35053,3927,9,11208,3,0,2147,2700,1910,1,650000
25198,35054,3928,44,11208,3,0,2000,2048,1910,1,580800
25199,35056,3929,22,11208,3,0,2037,1400,1910,1,740000
25200,35057,3929,22,11208,3,0,2037,1400,1910,1,480000
25201,35058,3929,51,11208,3,0,2579,4323,1915,1,750000
25202,35064,3959,3,11208,3,0,2500,3756,2005,1,980000
25203,35065,4101,19,11208,3,0,3021,3960,1901,1,675000
25204,35066,4101,25,11208,3,1,2038,375,2016,1,900000
25205,35067,4101,26,11208,3,0,2795,3007,2016,1,900000
25206,35068,4105,106,11208,3,1,2868,4800,2016,1,278000
25207,35069,4105,107,11208,3,0,1900,0,2016,1,278000
25208,35070,4105,108,11208,3,0,3710,0,2016,1,278000
25209,35074,4121,7,11208,3,0,1636,3480,1905,1,526000
25210,35077,4121,20,11208,3,0,1755,2036,1905,1,360000
25211,35078,4121,21,11208,3,0,1800,3210,1905,1,725000
25212,35080,4122,15,11208,3,0,2500,2248,1905,1,675000
25213,35083,4125,14,11208,3,0,3220,3408,1901,1,600000
25214,35084,4126,60,11208,3,0,3000,3420,1910,1,605583
25215,35086,4130,25,11208,3,0,2203,3156,1899,1,586000
25216,35087,4134,12,11208,3,0,1750,2284,1899,1,550000
25217,35091,4135,22,11208,3,0,2925,2052,1899,1,730000
25218,35093,4136,34,11208,3,0,2155,2084,1910,1,600000
25219,35094,4136,36,11208,3,0,2573,2200,1910,1,590000
25220,35098,4148,21,11208,3,0,2000,2952,1910,1,415000
25221,35100,4148,63,11208,3,0,2000,2264,1920,1,69286
25222,35101,4148,63,11208,3,0,2000,2264,1920,1,69286
25223,35102,4148,63,11208,3,0,2000,2264,1920,1,69286
25224,35103,4148,63,11208,3,0,2000,2264,1920,1,69286
25225,35104,4148,63,11208,3,0,2000,2264,1920,1,69286
25226,35105,4148,63,11208,3,0,2000,2264,1920,1,69286
25228,35112,3662,28,11207,4,0,1620,3500,1899,2,10000
25229,35113,3669,5,11207,8,0,10000,7083,1935,2,3100000
25230,35116,3932,5,11207,6,0,2500,4077,1926,2,985000
25231,35117,3944,1,11208,9,0,2264,4830,1921,2,1130000
25232,35119,3946,12,11207,6,0,2500,4500,1910,2,2000000
25233,35120,3958,39,11208,5,0,2598,3981,1905,2,823000
25234,35121,3959,5,11208,4,0,2500,3000,1906,2,690000
25235,35122,4104,44,11208,6,0,4088,4740,1925,2,367000
25236,35124,4108,67,11208,6,0,2295,4860,1915,2,1200000
25237,35125,4108,67,11208,6,0,2295,4860,1915,2,430000
25238,35126,4112,43,11208,4,0,2500,3000,1915,2,940000
25239,35130,4127,59,11208,6,0,2789,4992,1915,2,480000
25241,35134,3958,29,11208,4,1,2221,4326,1927,2,640000
25242,35135,3958,29,11208,4,1,2221,4326,1927,2,10000
25243,35136,4102,18,11208,3,1,3267,3180,1910,2,700000
25244,35137,4112,5,11208,2,2,2069,3300,1920,2,780000
25245,35138,4116,1,11208,2,3,1860,3360,1901,2,930000
25246,35139,4118,46,11208,5,2,2458,5925,1915,2,1800000
25247,35140,4129,1,11208,4,1,4070,9415,1930,2,1455800
25248,35141,4147,30,11208,4,4,2103,4620,1920,2,1325000
25249,35142,3483,29,11207,0,1,1015,590,1931,4,75000
25250,35146,3950,47,11207,1,1,4914,6640,1920,4,1775000
25251,35148,4107,36,11208,2,1,2652,2500,1920,4,350000
25252,35149,3662,20,11207,0,1,3469,3745,1914,4,1300000
25253,35151,3663,15,11207,0,1,2500,600,1994,4,10000
25254,35152,3663,15,11207,0,1,2500,600,1994,4,509125
25257,35160,3957,30,11208,0,1,2500,700,1999,4,150000
25258,35161,4105,34,11208,0,1,9490,9445,1930,4,1000000
25259,35162,3929,63,11208,0,2,5350,13500,1930,4,2200000
25262,35171,34,120,11201,2,0,1480,3366,2005,1,2795000
25435,35392,202,14,11201,0,1,6783,6606,1940,4,5976252
25436,35393,52,4,11201,0,1,17564,41150,1994,4,65000000
25463,35433,170,57,11201,1,0,1590,4296,2005,1,3995000
25486,35458,165,1001,11201,8,3,18175,5802,2009,2,154250000
25664,35669,146,15,11201,3,1,2174,2898,1915,2,149000
25665,35670,172,2,11217,4,1,825,3300,1920,2,2400000
25666,35671,153,3,11201,0,1,13290,42278,1963,4,76500000
25667,35684,149,31,11201,0,1,1637,4911,1920,4,10000000
25668,35692,161,61,11217,0,2,3400,6680,1920,4,11100000
25669,35693,174,9,11217,0,4,9589,9589,1920,4,25000000
25671,35698,157,1,11201,0,1,58400,290356,1957,4,52962546
25677,35709,108,19,11201,3,0,1953,3016,1935,1,2025000
25678,35710,120,38,11201,3,0,1871,2320,1899,1,2100000
25679,35711,121,14,11201,3,0,2175,2116,1910,1,1850000
25787,35841,63,1,11201,0,2,20704,206000,1967,4,138106368
25788,35844,64,25,11201,0,2,8253,81760,1909,4,50584955
25789,35847,76,1,11201,0,2,20600,164115,1926,4,98463962
25790,35850,77,1,11201,0,5,14800,191800,1962,4,121313223
25791,35852,87,5,11201,0,3,21218,191688,1918,4,102873750
25792,35853,147,36,11201,0,4,16525,96586,1929,4,54000000
25793,35857,87,9,11201,0,1,21175,363100,1992,4,135000000
25794,35858,108,24,11201,0,1,2500,2000,1950,4,1950000
25798,35866,5768,2,11219,1,1,1200,2000,1931,1,980000
25799,35868,5771,61,11219,1,0,2200,1400,1915,1,910000
25800,35869,5771,70,11219,1,0,2200,1400,1915,1,880000
25801,35871,5898,26,11228,1,0,2000,1470,1925,1,865000
25802,35873,5945,23,11228,1,0,2200,1408,1925,1,823000
25803,35874,5945,69,11228,1,0,1783,1288,1925,1,635000
25804,35875,5946,13,11228,1,0,1783,1204,1925,1,435527
25805,35876,5946,19,11228,1,0,3000,1800,1925,1,1250000
25806,35877,5946,60,11228,1,0,1800,1288,1925,1,915000
25807,35878,5946,68,11228,1,0,1800,1288,1925,1,838000
25808,35879,5946,71,11228,1,0,1800,1288,1925,1,850000
25809,35881,5954,49,11228,1,0,2000,1536,1925,1,900000
25810,35883,5955,6,11228,1,0,1737,1170,1930,1,825000
25811,35884,5955,17,11228,1,0,1783,1170,1930,1,810000
25812,35885,5955,61,11228,1,0,1950,1326,1930,1,742500
25813,35886,5955,125,11228,1,0,1783,1170,1930,1,845000
25814,35888,5964,53,11228,1,0,1900,1344,1925,1,900000
25815,35889,5964,54,11228,1,0,1900,1456,1925,1,915000
25816,35890,5964,67,11228,1,0,1850,1344,1925,1,835000
25817,35891,5965,3,11228,1,0,2000,1536,1930,1,902500
25818,35892,5965,10,11228,1,0,2000,1888,1930,1,1150000
25819,35893,5973,54,11228,1,0,2000,1936,1925,1,1150000
